blob_timestamp_ms_time_from_acquisition_start_to_blob_transfer,97961
trigger_source,2
trigger_mode,0
recording_time_s,5.000000
recording_time_ms,5000.000000
sampling_rate_ms,0.037194908
sample_count,134427
duration_from_sample_count_ms,4999.999853
duration_error_ms,-0.000147
duration_error_percent,-0.000003

sample_index,sample_time_from_payload_start_ms,raw_counts_int16,acceleration_mg,acceleration_g
0,0.000000000,-15,-7.320000,-0.007320000
1,0.037194908,-20,-9.760000,-0.009760000
2,0.074389815,-37,-18.056000,-0.018056000
3,0.111584723,-22,-10.736000,-0.010736000
4,0.148779631,-12,-5.856000,-0.005856000
5,0.185974538,-46,-22.448000,-0.022448000
6,0.223169446,16,7.808000,0.007808000
7,0.260364354,-55,-26.840000,-0.026840000
8,0.297559261,-8,-3.904000,-0.003904000
9,0.334754169,-33,-16.104000,-0.016104000
10,0.371949077,-36,-17.568000,-0.017568000
11,0.409143984,-4,-1.952000,-0.001952000
12,0.446338892,-23,-11.224000,-0.011224000
13,0.483533800,-4,-1.952000,-0.001952000
14,0.520728707,5,2.440000,0.002440000
15,0.557923615,-13,-6.344000,-0.006344000
16,0.595118523,-1,-0.488000,-0.000488000
17,0.632313430,-26,-12.688000,-0.012688000
18,0.669508338,-41,-20.008000,-0.020008000
19,0.706703246,-7,-3.416000,-0.003416000
20,0.743898153,-18,-8.784000,-0.008784000
21,0.781093061,-24,-11.712000,-0.011712000
22,0.818287969,4,1.952000,0.001952000
23,0.855482876,-15,-7.320000,-0.007320000
24,0.892677784,-15,-7.320000,-0.007320000
25,0.929872692,-29,-14.152000,-0.014152000
26,0.967067599,-12,-5.856000,-0.005856000
27,1.004262507,-19,-9.272000,-0.009272000
28,1.041457415,-15,-7.320000,-0.007320000
29,1.078652322,-27,-13.176000,-0.013176000
30,1.115847230,-36,-17.568000,-0.017568000
31,1.153042138,4,1.952000,0.001952000
32,1.190237045,19,9.272000,0.009272000
33,1.227431953,-60,-29.280000,-0.029280000
34,1.264626861,23,11.224000,0.011224000
35,1.301821768,-14,-6.832000,-0.006832000
36,1.339016676,-36,-17.568000,-0.017568000
37,1.376211584,18,8.784000,0.008784000
38,1.413406491,-20,-9.760000,-0.009760000
39,1.450601399,-23,-11.224000,-0.011224000
40,1.487796307,4,1.952000,0.001952000
41,1.524991214,-2,-0.976000,-0.000976000
42,1.562186122,-24,-11.712000,-0.011712000
43,1.599381030,-32,-15.616000,-0.015616000
44,1.636575937,-14,-6.832000,-0.006832000
45,1.673770845,-29,-14.152000,-0.014152000
46,1.710965753,0,0.000000,0.000000000
47,1.748160660,-14,-6.832000,-0.006832000
48,1.785355568,-55,-26.840000,-0.026840000
49,1.822550476,-2,-0.976000,-0.000976000
50,1.859745383,-47,-22.936000,-0.022936000
51,1.896940291,-23,-11.224000,-0.011224000
52,1.934135199,-28,-13.664000,-0.013664000
53,1.971330106,-24,-11.712000,-0.011712000
54,2.008525014,-8,-3.904000,-0.003904000
55,2.045719922,-14,-6.832000,-0.006832000
56,2.082914829,-7,-3.416000,-0.003416000
57,2.120109737,-29,-14.152000,-0.014152000
58,2.157304645,8,3.904000,0.003904000
59,2.194499552,1,0.488000,0.000488000
60,2.231694460,12,5.856000,0.005856000
61,2.268889368,-7,-3.416000,-0.003416000
62,2.306084275,-16,-7.808000,-0.007808000
63,2.343279183,-15,-7.320000,-0.007320000
64,2.380474091,-9,-4.392000,-0.004392000
65,2.417668998,9,4.392000,0.004392000
66,2.454863906,-30,-14.640000,-0.014640000
67,2.492058814,0,0.000000,0.000000000
68,2.529253721,-40,-19.520000,-0.019520000
69,2.566448629,-33,-16.104000,-0.016104000
70,2.603643537,7,3.416000,0.003416000
71,2.640838444,-15,-7.320000,-0.007320000
72,2.678033352,-14,-6.832000,-0.006832000
73,2.715228260,-41,-20.008000,-0.020008000
74,2.752423167,-1,-0.488000,-0.000488000
75,2.789618075,-17,-8.296000,-0.008296000
76,2.826812983,6,2.928000,0.002928000
77,2.864007890,-19,-9.272000,-0.009272000
78,2.901202798,-30,-14.640000,-0.014640000
79,2.938397706,10,4.880000,0.004880000
80,2.975592613,-9,-4.392000,-0.004392000
81,3.012787521,-23,-11.224000,-0.011224000
82,3.049982429,-2,-0.976000,-0.000976000
83,3.087177336,-23,-11.224000,-0.011224000
84,3.124372244,-18,-8.784000,-0.008784000
85,3.161567152,-40,-19.520000,-0.019520000
