blob_timestamp_ms_time_from_acquisition_start_to_blob_transfer,181040
trigger_source,2
trigger_mode,0
recording_time_s,5.000000
recording_time_ms,5000.000000
sampling_rate_ms,0.037185226
sample_count,134462
duration_from_sample_count_ms,4999.999809
duration_error_ms,-0.000191
duration_error_percent,-0.000004

sample_index,sample_time_from_payload_start_ms,raw_counts_int16,acceleration_mg,acceleration_g
0,0.000000000,-2043,-996.984000,-0.996984000
1,0.037185226,-2095,-1022.360000,-1.022360000
2,0.074370451,-2031,-991.128000,-0.991128000
3,0.111555677,-2033,-992.104000,-0.992104000
4,0.148740903,-2014,-982.832000,-0.982832000
5,0.185926128,-1985,-968.680000,-0.968680000
6,0.223111354,-2021,-986.248000,-0.986248000
7,0.260296579,-1998,-975.024000,-0.975024000
8,0.297481805,-2062,-1006.256000,-1.006256000
9,0.334667031,-2020,-985.760000,-0.985760000
10,0.371852256,-2053,-1001.864000,-1.001864000
11,0.409037482,-2033,-992.104000,-0.992104000
12,0.446222708,-2017,-984.296000,-0.984296000
13,0.483407933,-2003,-977.464000,-0.977464000
14,0.520593159,-2015,-983.320000,-0.983320000
15,0.557778385,-2032,-991.616000,-0.991616000
16,0.594963610,-2027,-989.176000,-0.989176000
17,0.632148836,-2024,-987.712000,-0.987712000
18,0.669334061,-2048,-999.424000,-0.999424000
19,0.706519287,-2069,-1009.672000,-1.009672000
20,0.743704513,-2025,-988.200000,-0.988200000
21,0.780889738,-2089,-1019.432000,-1.019432000
22,0.818074964,-2043,-996.984000,-0.996984000
23,0.855260190,-2043,-996.984000,-0.996984000
24,0.892445415,-2076,-1013.088000,-1.013088000
25,0.929630641,-2037,-994.056000,-0.994056000
26,0.966815867,-2047,-998.936000,-0.998936000
27,1.004001092,-2016,-983.808000,-0.983808000
28,1.041186318,-2032,-991.616000,-0.991616000
29,1.078371543,-2052,-1001.376000,-1.001376000
30,1.115556769,-2046,-998.448000,-0.998448000
31,1.152741995,-2056,-1003.328000,-1.003328000
32,1.189927220,-2049,-999.912000,-0.999912000
33,1.227112446,-2038,-994.544000,-0.994544000
34,1.264297672,-2013,-982.344000,-0.982344000
35,1.301482897,-2028,-989.664000,-0.989664000
36,1.338668123,-1982,-967.216000,-0.967216000
37,1.375853349,-2023,-987.224000,-0.987224000
38,1.413038574,-2011,-981.368000,-0.981368000
