blob_timestamp_ms_time_from_acquisition_start_to_blob_transfer,93570
trigger_source,2
trigger_mode,0
recording_time_s,5.000000
recording_time_ms,5000.000000
sampling_rate_ms,0.037180249
sample_count,134480
duration_from_sample_count_ms,4999.999838
duration_error_ms,-0.000162
duration_error_percent,-0.000003

sample_index,sample_time_from_payload_start_ms,raw_counts_int16,acceleration_mg,acceleration_g
0,0.000000000,-10,-4.880000,-0.004880000
1,0.037180249,22,10.736000,0.010736000
2,0.074360497,-39,-19.032000,-0.019032000
3,0.111540746,-4,-1.952000,-0.001952000
4,0.148720995,-16,-7.808000,-0.007808000
5,0.185901243,-34,-16.592000,-0.016592000
6,0.223081492,-14,-6.832000,-0.006832000
7,0.260261741,-47,-22.936000,-0.022936000
8,0.297441989,-33,-16.104000,-0.016104000
9,0.334622238,-20,-9.760000,-0.009760000
10,0.371802486,-94,-45.872000,-0.045872000
11,0.408982735,-3,-1.464000,-0.001464000
12,0.446162984,-12,-5.856000,-0.005856000
13,0.483343232,-24,-11.712000,-0.011712000
14,0.520523481,-24,-11.712000,-0.011712000
15,0.557703730,-8,-3.904000,-0.003904000
16,0.594883978,-26,-12.688000,-0.012688000
17,0.632064227,-6,-2.928000,-0.002928000
18,0.669244476,-53,-25.864000,-0.025864000
19,0.706424724,-11,-5.368000,-0.005368000
20,0.743604973,-36,-17.568000,-0.017568000
21,0.780785222,-42,-20.496000,-0.020496000
22,0.817965470,-20,-9.760000,-0.009760000
23,0.855145719,-1,-0.488000,-0.000488000
24,0.892325968,-33,-16.104000,-0.016104000
25,0.929506216,-9,-4.392000,-0.004392000
26,0.966686465,2,0.976000,0.000976000
27,1.003866713,32,15.616000,0.015616000
28,1.041046962,-40,-19.520000,-0.019520000
29,1.078227211,2,0.976000,0.000976000
30,1.115407459,-26,-12.688000,-0.012688000
31,1.152587708,-38,-18.544000,-0.018544000
32,1.189767957,19,9.272000,0.009272000
33,1.226948205,-2,-0.976000,-0.000976000
34,1.264128454,1,0.488000,0.000488000
35,1.301308703,4,1.952000,0.001952000
36,1.338488951,-23,-11.224000,-0.011224000
37,1.375669200,-52,-25.376000,-0.025376000
38,1.412849449,-16,-7.808000,-0.007808000
39,1.450029697,-7,-3.416000,-0.003416000
40,1.487209946,-19,-9.272000,-0.009272000
41,1.524390195,-4,-1.952000,-0.001952000
42,1.561570443,-10,-4.880000,-0.004880000
43,1.598750692,-16,-7.808000,-0.007808000
44,1.635930941,-56,-27.328000,-0.027328000
45,1.673111189,1,0.488000,0.000488000
46,1.710291438,13,6.344000,0.006344000
47,1.747471686,14,6.832000,0.006832000
48,1.784651935,-35,-17.080000,-0.017080000
49,1.821832184,4,1.952000,0.001952000
50,1.859012432,-1,-0.488000,-0.000488000
51,1.896192681,-65,-31.720000,-0.031720000
52,1.933372930,-15,-7.320000,-0.007320000
53,1.970553178,-42,-20.496000,-0.020496000
54,2.007733427,-12,-5.856000,-0.005856000
