blob_timestamp_ms_time_from_acquisition_start_to_blob_transfer,207544
trigger_source,2
trigger_mode,0
recording_time_s,5.000000
recording_time_ms,5000.000000
sampling_rate_ms,0.037138548
sample_count,134631
duration_from_sample_count_ms,4999.999822
duration_error_ms,-0.000178
duration_error_percent,-0.000004

sample_index,sample_time_from_payload_start_ms,raw_counts_int16,acceleration_mg,acceleration_g
0,0.000000000,-2072,-1011.136000,-1.011136000
1,0.037138548,-2060,-1005.280000,-1.005280000
2,0.074277095,-2063,-1006.744000,-1.006744000
3,0.111415643,-2069,-1009.672000,-1.009672000
4,0.148554191,-2024,-987.712000,-0.987712000
5,0.185692739,-2023,-987.224000,-0.987224000
6,0.222831286,-2059,-1004.792000,-1.004792000
7,0.259969834,-2083,-1016.504000,-1.016504000
8,0.297108382,-2088,-1018.944000,-1.018944000
9,0.334246930,-2051,-1000.888000,-1.000888000
10,0.371385477,-2048,-999.424000,-0.999424000
11,0.408524025,-2049,-999.912000,-0.999912000
12,0.445662573,-2053,-1001.864000,-1.001864000
13,0.482801121,-2028,-989.664000,-0.989664000
14,0.519939668,-2079,-1014.552000,-1.014552000
15,0.557078216,-2035,-993.080000,-0.993080000
16,0.594216764,-2034,-992.592000,-0.992592000
17,0.631355312,-2020,-985.760000,-0.985760000
18,0.668493859,-2019,-985.272000,-0.985272000
19,0.705632407,-1995,-973.560000,-0.973560000
20,0.742770955,-2062,-1006.256000,-1.006256000
21,0.779909503,-2019,-985.272000,-0.985272000
22,0.817048050,-2028,-989.664000,-0.989664000
23,0.854186598,-1995,-973.560000,-0.973560000
24,0.891325146,-1982,-967.216000,-0.967216000
25,0.928463694,-2065,-1007.720000,-1.007720000
26,0.965602241,-2028,-989.664000,-0.989664000
27,1.002740789,-2044,-997.472000,-0.997472000
28,1.039879337,-2006,-978.928000,-0.978928000
29,1.077017885,-2018,-984.784000,-0.984784000
30,1.114156432,-2040,-995.520000,-0.995520000
31,1.151294980,-2000,-976.000000,-0.976000000
32,1.188433528,-2013,-982.344000,-0.982344000
33,1.225572076,-2045,-997.960000,-0.997960000
34,1.262710623,-2047,-998.936000,-0.998936000
35,1.299849171,-2040,-995.520000,-0.995520000
36,1.336987719,-2007,-979.416000,-0.979416000
37,1.374126267,-2041,-996.008000,-0.996008000
38,1.411264814,-2074,-1012.112000,-1.012112000
39,1.448403362,-2058,-1004.304000,-1.004304000
40,1.485541910,-2057,-1003.816000,-1.003816000
41,1.522680458,-2076,-1013.088000,-1.013088000
42,1.559819005,-2025,-988.200000,-0.988200000
43,1.596957553,-2090,-1019.920000,-1.019920000
44,1.634096101,-2063,-1006.744000,-1.006744000
45,1.671234649,-2064,-1007.232000,-1.007232000
46,1.708373196,-2047,-998.936000,-0.998936000
47,1.745511744,-2029,-990.152000,-0.990152000
48,1.782650292,-2046,-998.448000,-0.998448000
49,1.819788840,-2084,-1016.992000,-1.016992000
50,1.856927387,-2015,-983.320000,-0.983320000
51,1.894065935,-2062,-1006.256000,-1.006256000
52,1.931204483,-2040,-995.520000,-0.995520000
53,1.968343031,-2078,-1014.064000,-1.014064000
54,2.005481578,-2040,-995.520000,-0.995520000
55,2.042620126,-2058,-1004.304000,-1.004304000
56,2.079758674,-2017,-984.296000,-0.984296000
57,2.116897222,-2052,-1001.376000,-1.001376000
58,2.154035769,-2000,-976.000000,-0.976000000
59,2.191174317,-2017,-984.296000,-0.984296000
60,2.228312865,-1987,-969.656000,-0.969656000
61,2.265451413,-2033,-992.104000,-0.992104000
62,2.302589960,-1961,-956.968000,-0.956968000
63,2.339728508,-2082,-1016.016000,-1.016016000
64,2.376867056,-1989,-970.632000,-0.970632000
