blob_timestamp_ms_time_from_acquisition_start_to_blob_transfer,93472
trigger_source,2
trigger_mode,0
recording_time_s,5.000000
recording_time_ms,5000.000000
sampling_rate_ms,0.037185226
sample_count,134462
duration_from_sample_count_ms,4999.999809
duration_error_ms,-0.000191
duration_error_percent,-0.000004

sample_index,sample_time_from_payload_start_ms,raw_counts_int16,acceleration_mg,acceleration_g
128,4.759708881,-20,-9.760000,-0.009760000
129,4.796894107,-31,-15.128000,-0.015128000
130,4.834079333,-25,-12.200000,-0.012200000
131,4.871264558,-54,-26.352000,-0.026352000
132,4.908449784,-32,-15.616000,-0.015616000
133,4.945635010,-50,-24.400000,-0.024400000
134,4.982820235,-4,-1.952000,-0.001952000
135,5.020005461,-13,-6.344000,-0.006344000
136,5.057190686,-44,-21.472000,-0.021472000
137,5.094375912,-5,-2.440000,-0.002440000
138,5.131561138,-25,-12.200000,-0.012200000
139,5.168746363,-13,-6.344000,-0.006344000
140,5.205931589,-19,-9.272000,-0.009272000
141,5.243116815,28,13.664000,0.013664000
142,5.280302040,-28,-13.664000,-0.013664000
143,5.317487266,-7,-3.416000,-0.003416000
144,5.354672492,-18,-8.784000,-0.008784000
145,5.391857717,-57,-27.816000,-0.027816000
146,5.429042943,-11,-5.368000,-0.005368000
147,5.466228168,-22,-10.736000,-0.010736000
148,5.503413394,-20,-9.760000,-0.009760000
149,5.540598620,-20,-9.760000,-0.009760000
150,5.577783845,-15,-7.320000,-0.007320000
151,5.614969071,-44,-21.472000,-0.021472000
152,5.652154297,-26,-12.688000,-0.012688000
153,5.689339522,-25,-12.200000,-0.012200000
154,5.726524748,-39,-19.032000,-0.019032000
155,5.763709974,2,0.976000,0.000976000
156,5.800895199,4,1.952000,0.001952000
157,5.838080425,-73,-35.624000,-0.035624000
158,5.875265650,-4,-1.952000,-0.001952000
159,5.912450876,-12,-5.856000,-0.005856000
160,5.949636102,-30,-14.640000,-0.014640000
161,5.986821327,15,7.320000,0.007320000
162,6.024006553,-72,-35.136000,-0.035136000
163,6.061191779,0,0.000000,0.000000000
164,6.098377004,-41,-20.008000,-0.020008000
165,6.135562230,-22,-10.736000,-0.010736000
166,6.172747456,2,0.976000,0.000976000
167,6.209932681,-8,-3.904000,-0.003904000
168,6.247117907,-28,-13.664000,-0.013664000
169,6.284303132,8,3.904000,0.003904000
170,6.321488358,-50,-24.400000,-0.024400000
171,6.358673584,-55,-26.840000,-0.026840000
172,6.395858809,-5,-2.440000,-0.002440000
173,6.433044035,-17,-8.296000,-0.008296000
174,6.470229261,-24,-11.712000,-0.011712000
175,6.507414486,-3,-1.464000,-0.001464000
176,6.544599712,-32,-15.616000,-0.015616000
177,6.581784938,-29,-14.152000,-0.014152000
178,6.618970163,-53,-25.864000,-0.025864000
179,6.656155389,14,6.832000,0.006832000
180,6.693340614,-31,-15.128000,-0.015128000
181,6.730525840,-35,-17.080000,-0.017080000
182,6.767711066,-24,-11.712000,-0.011712000
183,6.804896291,-34,-16.592000,-0.016592000
184,6.842081517,-31,-15.128000,-0.015128000
185,6.879266743,-15,-7.320000,-0.007320000
186,6.916451968,-36,-17.568000,-0.017568000
187,6.953637194,-28,-13.664000,-0.013664000
188,6.990822420,-20,-9.760000,-0.009760000
189,7.028007645,7,3.416000,0.003416000
190,7.065192871,-45,-21.960000,-0.021960000
191,7.102378096,-35,-17.080000,-0.017080000
192,7.139563322,8,3.904000,0.003904000
193,7.176748548,2,0.976000,0.000976000
194,7.213933773,-53,-25.864000,-0.025864000
195,7.251118999,-7,-3.416000,-0.003416000
196,7.288304225,-48,-23.424000,-0.023424000
197,7.325489450,-35,-17.080000,-0.017080000
198,7.362674676,-12,-5.856000,-0.005856000
199,7.399859902,-16,-7.808000,-0.007808000
200,7.437045127,-12,-5.856000,-0.005856000
201,7.474230353,-42,-20.496000,-0.020496000
202,7.511415578,8,3.904000,0.003904000
203,7.548600804,-10,-4.880000,-0.004880000
204,7.585786030,12,5.856000,0.005856000
205,7.622971255,-24,-11.712000,-0.011712000
206,7.660156481,12,5.856000,0.005856000
207,7.697341707,-69,-33.672000,-0.033672000
208,7.734526932,-15,-7.320000,-0.007320000
209,7.771712158,10,4.880000,0.004880000
210,7.808897384,-63,-30.744000,-0.030744000
211,7.846082609,16,7.808000,0.007808000
212,7.883267835,16,7.808000,0.007808000
213,7.920453060,-31,-15.128000,-0.015128000
214,7.957638286,-35,-17.080000,-0.017080000
215,7.994823512,-8,-3.904000,-0.003904000
216,8.032008737,-21,-10.248000,-0.010248000
217,8.069193963,-3,-1.464000,-0.001464000
218,8.106379189,-17,-8.296000,-0.008296000
219,8.143564414,-35,-17.080000,-0.017080000
220,8.180749640,21,10.248000,0.010248000
221,8.217934866,-24,-11.712000,-0.011712000
222,8.255120091,-42,-20.496000,-0.020496000
223,8.292305317,-22,-10.736000,-0.010736000
224,8.329490542,-5,-2.440000,-0.002440000
225,8.366675768,-39,-19.032000,-0.019032000
226,8.403860994,-28,-13.664000,-0.013664000
227,8.441046219,-22,-10.736000,-0.010736000
228,8.478231445,-10,-4.880000,-0.004880000
229,8.515416671,-36,-17.568000,-0.017568000
230,8.552601896,4,1.952000,0.001952000
231,8.589787122,10,4.880000,0.004880000
232,8.626972347,-65,-31.720000,-0.031720000
233,8.664157573,13,6.344000,0.006344000
234,8.701342799,-31,-15.128000,-0.015128000
235,8.738528024,-15,-7.320000,-0.007320000
236,8.775713250,15,7.320000,0.007320000
237,8.812898476,-37,-18.056000,-0.018056000
238,8.850083701,-20,-9.760000,-0.009760000
239,8.887268927,-50,-24.400000,-0.024400000
240,8.924454153,-12,-5.856000,-0.005856000
241,8.961639378,-33,-16.104000,-0.016104000
242,8.998824604,-13,-6.344000,-0.006344000
243,9.036009829,-41,-20.008000,-0.020008000
244,9.073195055,26,12.688000,0.012688000
245,9.110380281,-34,-16.592000,-0.016592000
246,9.147565506,0,0.000000,0.000000000
247,9.184750732,-9,-4.392000,-0.004392000
248,9.221935958,-8,-3.904000,-0.003904000
249,9.259121183,-35,-17.080000,-0.017080000
250,9.296306409,-31,-15.128000,-0.015128000
251,9.333491635,-20,-9.760000,-0.009760000
252,9.370676860,-13,-6.344000,-0.006344000
253,9.407862086,-46,-22.448000,-0.022448000
254,9.445047311,4,1.952000,0.001952000
255,9.482232537,-21,-10.248000,-0.010248000
256,9.519417763,-23,-11.224000,-0.011224000
257,9.556602988,9,4.392000,0.004392000
258,9.593788214,-30,-14.640000,-0.014640000
259,9.630973440,-12,-5.856000,-0.005856000
