blob_timestamp_ms_time_from_acquisition_start_to_blob_transfer,181711
trigger_source,2
trigger_mode,0
recording_time_s,5.000000
recording_time_ms,5000.000000
sampling_rate_ms,0.037180249
sample_count,134480
duration_from_sample_count_ms,4999.999838
duration_error_ms,-0.000162
duration_error_percent,-0.000003

sample_index,sample_time_from_payload_start_ms,raw_counts_int16,acceleration_mg,acceleration_g
0,0.000000000,-2062,-1006.256000,-1.006256000
1,0.037180249,-2070,-1010.160000,-1.010160000
2,0.074360497,-2029,-990.152000,-0.990152000
3,0.111540746,-2076,-1013.088000,-1.013088000
4,0.148720995,-2042,-996.496000,-0.996496000
5,0.185901243,-2036,-993.568000,-0.993568000
6,0.223081492,-2041,-996.008000,-0.996008000
7,0.260261741,-2035,-993.080000,-0.993080000
8,0.297441989,-2038,-994.544000,-0.994544000
9,0.334622238,-2082,-1016.016000,-1.016016000
10,0.371802486,-2026,-988.688000,-0.988688000
11,0.408982735,-2027,-989.176000,-0.989176000
12,0.446162984,-2081,-1015.528000,-1.015528000
13,0.483343232,-2054,-1002.352000,-1.002352000
14,0.520523481,-2045,-997.960000,-0.997960000
15,0.557703730,-2050,-1000.400000,-1.000400000
16,0.594883978,-1999,-975.512000,-0.975512000
17,0.632064227,-2066,-1008.208000,-1.008208000
18,0.669244476,-1970,-961.360000,-0.961360000
19,0.706424724,-2020,-985.760000,-0.985760000
20,0.743604973,-2061,-1005.768000,-1.005768000
21,0.780785222,-1980,-966.240000,-0.966240000
22,0.817965470,-2054,-1002.352000,-1.002352000
23,0.855145719,-2003,-977.464000,-0.977464000
24,0.892325968,-2007,-979.416000,-0.979416000
25,0.929506216,-2009,-980.392000,-0.980392000
26,0.966686465,-2033,-992.104000,-0.992104000
27,1.003866713,-2030,-990.640000,-0.990640000
28,1.041046962,-2030,-990.640000,-0.990640000
29,1.078227211,-2017,-984.296000,-0.984296000
30,1.115407459,-2045,-997.960000,-0.997960000
31,1.152587708,-2031,-991.128000,-0.991128000
32,1.189767957,-2006,-978.928000,-0.978928000
33,1.226948205,-2019,-985.272000,-0.985272000
34,1.264128454,-2059,-1004.792000,-1.004792000
35,1.301308703,-2103,-1026.264000,-1.026264000
36,1.338488951,-2051,-1000.888000,-1.000888000
37,1.375669200,-2038,-994.544000,-0.994544000
38,1.412849449,-2098,-1023.824000,-1.023824000
39,1.450029697,-2082,-1016.016000,-1.016016000
40,1.487209946,-2051,-1000.888000,-1.000888000
41,1.524390195,-2056,-1003.328000,-1.003328000
42,1.561570443,-1992,-972.096000,-0.972096000
43,1.598750692,-2075,-1012.600000,-1.012600000
44,1.635930941,-2058,-1004.304000,-1.004304000
45,1.673111189,-2032,-991.616000,-0.991616000
46,1.710291438,-2017,-984.296000,-0.984296000
47,1.747471686,-2026,-988.688000,-0.988688000
48,1.784651935,-2010,-980.880000,-0.980880000
49,1.821832184,-2037,-994.056000,-0.994056000
50,1.859012432,-2040,-995.520000,-0.995520000
51,1.896192681,-1993,-972.584000,-0.972584000
52,1.933372930,-2023,-987.224000,-0.987224000
53,1.970553178,-2056,-1003.328000,-1.003328000
54,2.007733427,-2057,-1003.816000,-1.003816000
55,2.044913676,-2003,-977.464000,-0.977464000
56,2.082093924,-2047,-998.936000,-0.998936000
57,2.119274173,-2017,-984.296000,-0.984296000
58,2.156454422,-2035,-993.080000,-0.993080000
59,2.193634670,-2082,-1016.016000,-1.016016000
60,2.230814919,-2024,-987.712000,-0.987712000
61,2.267995168,-2044,-997.472000,-0.997472000
62,2.305175416,-2028,-989.664000,-0.989664000
63,2.342355665,-2034,-992.592000,-0.992592000
64,2.379535913,-2062,-1006.256000,-1.006256000
65,2.416716162,-2032,-991.616000,-0.991616000
66,2.453896411,-2026,-988.688000,-0.988688000
67,2.491076659,-2031,-991.128000,-0.991128000
