blob_timestamp_ms_time_from_acquisition_start_to_blob_transfer,5282
trigger_source,2
trigger_mode,0
recording_time_s,5.000000
recording_time_ms,5000.000000
sampling_rate_ms,0.037194908
sample_count,134427
duration_from_sample_count_ms,4999.999853
duration_error_ms,-0.000147
duration_error_percent,-0.000003

sample_index,sample_time_from_payload_start_ms,raw_counts_int16,acceleration_mg,acceleration_g
123,4.574973643,38,18.544000,0.018544000
124,4.612168550,85,41.480000,0.041480000
125,4.649363458,50,24.400000,0.024400000
126,4.686558366,50,24.400000,0.024400000
127,4.723753273,89,43.432000,0.043432000
128,4.760948181,51,24.888000,0.024888000
129,4.798143089,57,27.816000,0.027816000
130,4.835337996,39,19.032000,0.019032000
131,4.872532904,65,31.720000,0.031720000
132,4.909727812,31,15.128000,0.015128000
133,4.946922719,48,23.424000,0.023424000
134,4.984117627,46,22.448000,0.022448000
135,5.021312535,74,36.112000,0.036112000
136,5.058507442,51,24.888000,0.024888000
137,5.095702350,73,35.624000,0.035624000
138,5.132897258,23,11.224000,0.011224000
139,5.170092165,52,25.376000,0.025376000
140,5.207287073,24,11.712000,0.011712000
141,5.244481981,79,38.552000,0.038552000
142,5.281676888,4,1.952000,0.001952000
143,5.318871796,44,21.472000,0.021472000
144,5.356066704,45,21.960000,0.021960000
145,5.393261611,46,22.448000,0.022448000
146,5.430456519,12,5.856000,0.005856000
147,5.467651427,60,29.280000,0.029280000
148,5.504846334,20,9.760000,0.009760000
149,5.542041242,24,11.712000,0.011712000
150,5.579236150,35,17.080000,0.017080000
151,5.616431057,72,35.136000,0.035136000
152,5.653625965,16,7.808000,0.007808000
153,5.690820873,19,9.272000,0.009272000
154,5.728015780,61,29.768000,0.029768000
155,5.765210688,46,22.448000,0.022448000
156,5.802405596,68,33.184000,0.033184000
157,5.839600503,72,35.136000,0.035136000
158,5.876795411,49,23.912000,0.023912000
159,5.913990319,52,25.376000,0.025376000
160,5.951185226,70,34.160000,0.034160000
161,5.988380134,45,21.960000,0.021960000
