blob_timestamp_ms_time_from_acquisition_start_to_blob_transfer,331828
trigger_source,2
trigger_mode,0
recording_time_s,5.000000
recording_time_ms,5000.000000
sampling_rate_ms,0.037170574
sample_count,134515
duration_from_sample_count_ms,4999.999771
duration_error_ms,-0.000229
duration_error_percent,-0.000005

sample_index,sample_time_from_payload_start_ms,raw_counts_int16,acceleration_mg,acceleration_g
0,0.000000000,-8,-3.904000,-0.003904000
1,0.037170574,5,2.440000,0.002440000
2,0.074341148,-11,-5.368000,-0.005368000
3,0.111511722,-26,-12.688000,-0.012688000
4,0.148682296,-17,-8.296000,-0.008296000
5,0.185852870,-47,-22.936000,-0.022936000
6,0.223023444,-26,-12.688000,-0.012688000
7,0.260194018,-28,-13.664000,-0.013664000
8,0.297364593,-56,-27.328000,-0.027328000
9,0.334535167,-37,-18.056000,-0.018056000
10,0.371705741,-9,-4.392000,-0.004392000
11,0.408876315,-38,-18.544000,-0.018544000
12,0.446046889,-19,-9.272000,-0.009272000
13,0.483217463,-27,-13.176000,-0.013176000
14,0.520388037,-2,-0.976000,-0.000976000
15,0.557558611,-35,-17.080000,-0.017080000
16,0.594729185,-43,-20.984000,-0.020984000
17,0.631899759,5,2.440000,0.002440000
18,0.669070333,-57,-27.816000,-0.027816000
19,0.706240907,-54,-26.352000,-0.026352000
20,0.743411481,-8,-3.904000,-0.003904000
21,0.780582055,-20,-9.760000,-0.009760000
22,0.817752630,-40,-19.520000,-0.019520000
23,0.854923204,-29,-14.152000,-0.014152000
24,0.892093778,-10,-4.880000,-0.004880000
25,0.929264352,-43,-20.984000,-0.020984000
26,0.966434926,-13,-6.344000,-0.006344000
27,1.003605500,-6,-2.928000,-0.002928000
28,1.040776074,-9,-4.392000,-0.004392000
29,1.077946648,-32,-15.616000,-0.015616000
30,1.115117222,-8,-3.904000,-0.003904000
31,1.152287796,-29,-14.152000,-0.014152000
32,1.189458370,9,4.392000,0.004392000
33,1.226628944,-29,-14.152000,-0.014152000
34,1.263799518,-21,-10.248000,-0.010248000
35,1.300970092,-36,-17.568000,-0.017568000
36,1.338140666,5,2.440000,0.002440000
37,1.375311241,-45,-21.960000,-0.021960000
38,1.412481815,-19,-9.272000,-0.009272000
39,1.449652389,-49,-23.912000,-0.023912000
40,1.486822963,-6,-2.928000,-0.002928000
41,1.523993537,-41,-20.008000,-0.020008000
42,1.561164111,-6,-2.928000,-0.002928000
43,1.598334685,-60,-29.280000,-0.029280000
44,1.635505259,-10,-4.880000,-0.004880000
45,1.672675833,-52,-25.376000,-0.025376000
46,1.709846407,8,3.904000,0.003904000
47,1.747016981,-54,-26.352000,-0.026352000
48,1.784187555,-3,-1.464000,-0.001464000
49,1.821358129,-24,-11.712000,-0.011712000
50,1.858528703,-3,-1.464000,-0.001464000
51,1.895699278,-61,-29.768000,-0.029768000
52,1.932869852,-15,-7.320000,-0.007320000
53,1.970040426,-64,-31.232000,-0.031232000
54,2.007211000,0,0.000000,0.000000000
55,2.044381574,-41,-20.008000,-0.020008000
56,2.081552148,20,9.760000,0.009760000
57,2.118722722,-56,-27.328000,-0.027328000
58,2.155893296,-35,-17.080000,-0.017080000
59,2.193063870,-35,-17.080000,-0.017080000
60,2.230234444,-30,-14.640000,-0.014640000
61,2.267405018,-35,-17.080000,-0.017080000
62,2.304575592,19,9.272000,0.009272000
63,2.341746166,-42,-20.496000,-0.020496000
64,2.378916740,0,0.000000,0.000000000
65,2.416087314,-37,-18.056000,-0.018056000
66,2.453257889,-25,-12.200000,-0.012200000
67,2.490428463,9,4.392000,0.004392000
68,2.527599037,-8,-3.904000,-0.003904000
69,2.564769611,-17,-8.296000,-0.008296000
70,2.601940185,-23,-11.224000,-0.011224000
71,2.639110759,1,0.488000,0.000488000
72,2.676281333,-27,-13.176000,-0.013176000
73,2.713451907,-49,-23.912000,-0.023912000
74,2.750622481,13,6.344000,0.006344000
75,2.787793055,-37,-18.056000,-0.018056000
76,2.824963629,-14,-6.832000,-0.006832000
77,2.862134203,4,1.952000,0.001952000
78,2.899304777,-28,-13.664000,-0.013664000
79,2.936475351,-47,-22.936000,-0.022936000
80,2.973645926,-5,-2.440000,-0.002440000
81,3.010816500,-52,-25.376000,-0.025376000
82,3.047987074,-14,-6.832000,-0.006832000
83,3.085157648,-21,-10.248000,-0.010248000
84,3.122328222,-7,-3.416000,-0.003416000
85,3.159498796,-18,-8.784000,-0.008784000
86,3.196669370,19,9.272000,0.009272000
87,3.233839944,-28,-13.664000,-0.013664000
88,3.271010518,25,12.200000,0.012200000
89,3.308181092,-27,-13.176000,-0.013176000
90,3.345351666,-1,-0.488000,-0.000488000
91,3.382522240,-25,-12.200000,-0.012200000
92,3.419692814,-28,-13.664000,-0.013664000
93,3.456863388,-8,-3.904000,-0.003904000
94,3.494033962,-18,-8.784000,-0.008784000
95,3.531204537,-37,-18.056000,-0.018056000
96,3.568375111,-22,-10.736000,-0.010736000
97,3.605545685,-23,-11.224000,-0.011224000
98,3.642716259,-10,-4.880000,-0.004880000
99,3.679886833,-34,-16.592000,-0.016592000
100,3.717057407,-13,-6.344000,-0.006344000
101,3.754227981,-60,-29.280000,-0.029280000
102,3.791398555,2,0.976000,0.000976000
103,3.828569129,-8,-3.904000,-0.003904000
104,3.865739703,-12,-5.856000,-0.005856000
105,3.902910277,-31,-15.128000,-0.015128000
106,3.940080851,-10,-4.880000,-0.004880000
107,3.977251425,-34,-16.592000,-0.016592000
108,4.014421999,-5,-2.440000,-0.002440000
109,4.051592574,-21,-10.248000,-0.010248000
110,4.088763148,-10,-4.880000,-0.004880000
111,4.125933722,-15,-7.320000,-0.007320000
112,4.163104296,-41,-20.008000,-0.020008000
113,4.200274870,-13,-6.344000,-0.006344000
114,4.237445444,-1,-0.488000,-0.000488000
115,4.274616018,-45,-21.960000,-0.021960000
116,4.311786592,-2,-0.976000,-0.000976000
117,4.348957166,-82,-40.016000,-0.040016000
118,4.386127740,1,0.488000,0.000488000
119,4.423298314,-33,-16.104000,-0.016104000
120,4.460468888,-16,-7.808000,-0.007808000
121,4.497639462,-13,-6.344000,-0.006344000
122,4.534810036,-81,-39.528000,-0.039528000
123,4.571980610,13,6.344000,0.006344000
124,4.609151185,-26,-12.688000,-0.012688000
125,4.646321759,-26,-12.688000,-0.012688000
126,4.683492333,-9,-4.392000,-0.004392000
127,4.720662907,-6,-2.928000,-0.002928000
128,4.757833481,-35,-17.080000,-0.017080000
129,4.795004055,-33,-16.104000,-0.016104000
130,4.832174629,-37,-18.056000,-0.018056000
131,4.869345203,-6,-2.928000,-0.002928000
132,4.906515777,-15,-7.320000,-0.007320000
133,4.943686351,-42,-20.496000,-0.020496000
134,4.980856925,-2,-0.976000,-0.000976000
135,5.018027499,-53,-25.864000,-0.025864000
136,5.055198073,-8,-3.904000,-0.003904000
137,5.092368647,-16,-7.808000,-0.007808000
138,5.129539222,-19,-9.272000,-0.009272000
139,5.166709796,-28,-13.664000,-0.013664000
140,5.203880370,-7,-3.416000,-0.003416000
141,5.241050944,-50,-24.400000,-0.024400000
142,5.278221518,4,1.952000,0.001952000
143,5.315392092,-49,-23.912000,-0.023912000
144,5.352562666,-51,-24.888000,-0.024888000
145,5.389733240,-26,-12.688000,-0.012688000
146,5.426903814,-37,-18.056000,-0.018056000
147,5.464074388,28,13.664000,0.013664000
148,5.501244962,-55,-26.840000,-0.026840000
149,5.538415536,27,13.176000,0.013176000
150,5.575586110,-37,-18.056000,-0.018056000
151,5.612756684,-51,-24.888000,-0.024888000
152,5.649927258,-17,-8.296000,-0.008296000
153,5.687097833,-11,-5.368000,-0.005368000
154,5.724268407,-36,-17.568000,-0.017568000
155,5.761438981,-48,-23.424000,-0.023424000
156,5.798609555,0,0.000000,0.000000000
157,5.835780129,-15,-7.320000,-0.007320000
158,5.872950703,-4,-1.952000,-0.001952000
159,5.910121277,-53,-25.864000,-0.025864000
160,5.947291851,-28,-13.664000,-0.013664000
161,5.984462425,16,7.808000,0.007808000
162,6.021632999,-47,-22.936000,-0.022936000
163,6.058803573,-6,-2.928000,-0.002928000
164,6.095974147,-41,-20.008000,-0.020008000
165,6.133144721,-4,-1.952000,-0.001952000
166,6.170315295,-30,-14.640000,-0.014640000
167,6.207485870,-13,-6.344000,-0.006344000
168,6.244656444,-21,-10.248000,-0.010248000
169,6.281827018,-21,-10.248000,-0.010248000
170,6.318997592,-54,-26.352000,-0.026352000
171,6.356168166,22,10.736000,0.010736000
172,6.393338740,-51,-24.888000,-0.024888000
173,6.430509314,-14,-6.832000,-0.006832000
174,6.467679888,-58,-28.304000,-0.028304000
