blob_timestamp_ms_time_from_acquisition_start_to_blob_transfer,93879
trigger_source,2
trigger_mode,0
recording_time_s,5.000000
recording_time_ms,5000.000000
sampling_rate_ms,0.037128896
sample_count,134666
duration_from_sample_count_ms,4999.999844
duration_error_ms,-0.000156
duration_error_percent,-0.000003

sample_index,sample_time_from_payload_start_ms,raw_counts_int16,acceleration_mg,acceleration_g
0,0.000000000,-7,-3.416000,-0.003416000
1,0.037128896,0,0.000000,0.000000000
2,0.074257791,-24,-11.712000,-0.011712000
3,0.111386687,-41,-20.008000,-0.020008000
4,0.148515582,-13,-6.344000,-0.006344000
5,0.185644478,-54,-26.352000,-0.026352000
6,0.222773373,0,0.000000,0.000000000
7,0.259902269,-13,-6.344000,-0.006344000
8,0.297031164,-26,-12.688000,-0.012688000
9,0.334160060,-6,-2.928000,-0.002928000
10,0.371288955,-20,-9.760000,-0.009760000
11,0.408417851,-14,-6.832000,-0.006832000
12,0.445546746,-19,-9.272000,-0.009272000
13,0.482675642,0,0.000000,0.000000000
14,0.519804537,-54,-26.352000,-0.026352000
15,0.556933433,-55,-26.840000,-0.026840000
16,0.594062328,25,12.200000,0.012200000
17,0.631191224,-43,-20.984000,-0.020984000
18,0.668320119,-7,-3.416000,-0.003416000
19,0.705449015,-13,-6.344000,-0.006344000
20,0.742577910,-27,-13.176000,-0.013176000
21,0.779706806,-26,-12.688000,-0.012688000
22,0.816835701,-10,-4.880000,-0.004880000
23,0.853964597,-10,-4.880000,-0.004880000
24,0.891093493,-35,-17.080000,-0.017080000
25,0.928222388,5,2.440000,0.002440000
26,0.965351284,-18,-8.784000,-0.008784000
27,1.002480179,3,1.464000,0.001464000
28,1.039609075,-15,-7.320000,-0.007320000
29,1.076737970,-29,-14.152000,-0.014152000
30,1.113866866,-55,-26.840000,-0.026840000
31,1.150995761,-8,-3.904000,-0.003904000
32,1.188124657,-35,-17.080000,-0.017080000
33,1.225253552,3,1.464000,0.001464000
34,1.262382448,-42,-20.496000,-0.020496000
35,1.299511343,6,2.928000,0.002928000
36,1.336640239,-8,-3.904000,-0.003904000
37,1.373769134,-54,-26.352000,-0.026352000
38,1.410898030,15,7.320000,0.007320000
39,1.448026925,-30,-14.640000,-0.014640000
40,1.485155821,5,2.440000,0.002440000
41,1.522284716,-53,-25.864000,-0.025864000
42,1.559413612,-19,-9.272000,-0.009272000
43,1.596542507,4,1.952000,0.001952000
44,1.633671403,-49,-23.912000,-0.023912000
45,1.670800298,11,5.368000,0.005368000
46,1.707929194,-60,-29.280000,-0.029280000
47,1.745058089,-37,-18.056000,-0.018056000
48,1.782186985,6,2.928000,0.002928000
49,1.819315881,-84,-40.992000,-0.040992000
50,1.856444776,20,9.760000,0.009760000
51,1.893573672,-43,-20.984000,-0.020984000
52,1.930702567,-16,-7.808000,-0.007808000
53,1.967831463,-9,-4.392000,-0.004392000
54,2.004960358,-20,-9.760000,-0.009760000
55,2.042089254,-40,-19.520000,-0.019520000
56,2.079218149,-14,-6.832000,-0.006832000
57,2.116347045,-42,-20.496000,-0.020496000
58,2.153475940,-24,-11.712000,-0.011712000
59,2.190604836,-43,-20.984000,-0.020984000
60,2.227733731,10,4.880000,0.004880000
61,2.264862627,-43,-20.984000,-0.020984000
62,2.301991522,-17,-8.296000,-0.008296000
