sample_index,g_value
0,20.171641827423045
1,20.1701184874168
2,20.16961070741472
3,20.169102927412638
4,20.169102927412638
5,20.1701184874168
6,20.172657387427208
7,20.174180727433438
8,20.17468850743552
9,20.174180727433438
10,20.172149607425126
11,20.16859514741057
12,20.167071807404326
13,20.16961070741472
14,20.17367294743137
15,20.175704067439682
16,20.1751962874376
17,20.17468850743552
18,20.174180727433438
19,20.17367294743137
20,20.172657387427208
21,20.171134047420963
22,20.169102927412638
23,20.167071807404326
24,20.16859514741057
25,20.172149607425126
26,20.17316516742929
27,20.170626267418882
28,20.16808736740849
29,20.16808736740849
30,20.169102927412638
31,20.171641827423045
32,20.17367294743137
33,20.172149607425126
34,20.16808736740849
35,20.166564027402245
36,20.16961070741472
37,20.172657387427208
38,20.17316516742929
39,20.171641827423045
40,20.171134047420963
41,20.170626267418882
42,20.169102927412638
43,20.16859514741057
44,20.1701184874168
45,20.172149607425126
46,20.174180727433438
47,20.174180727433438
48,20.172657387427208
49,20.1701184874168
50,20.1701184874168
51,20.174180727433438
52,20.177227407445926
53,20.1751962874376
54,20.170626267418882
55,20.167579587406408
56,20.167071807404326
57,20.167579587406408
58,20.16961070741472
59,20.172657387427208
60,20.175704067439682
61,20.177735187448008
62,20.176719627443845
63,20.17316516742929
64,20.171134047420963
65,20.172657387427208
66,20.176719627443845
67,20.17824296745009
68,20.175704067439682
69,20.171641827423045
70,20.170626267418882
71,20.172149607425126
72,20.171641827423045
73,20.16961070741472
74,20.167579587406408
75,20.167579587406408
76,20.16859514741057
77,20.170626267418882
78,20.172149607425126
79,20.171641827423045
80,20.16859514741057
81,20.166056247400164
82,20.167071807404326
83,20.169102927412638
84,20.16961070741472
85,20.167579587406408
86,20.166056247400164
87,20.166564027402245
88,20.169102927412638
89,20.172149607425126
90,20.1751962874376
91,20.175704067439682
92,20.17316516742929
93,20.16961070741472
94,20.169102927412638
95,20.1701184874168
96,20.170626267418882
97,20.171134047420963
98,20.1701184874168
99,20.16859514741057
100,20.16961070741472
101,20.172149607425126
102,20.172149607425126
103,20.16961070741472
104,20.169102927412638
105,20.171134047420963
106,20.17367294743137
107,20.17468850743552
108,20.17316516742929
109,20.172149607425126
110,20.17316516742929
111,20.17468850743552
112,20.17468850743552
113,20.175704067439682
114,20.177735187448008
115,20.177227407445926
116,20.174180727433438
117,20.1701184874168
118,20.167071807404326
119,20.167579587406408
120,20.1701184874168
121,20.171641827423045
122,20.170626267418882
123,20.16859514741057
124,20.167579587406408
125,20.167579587406408
126,20.167071807404326
127,20.165548467398082
128,20.165040687396
129,20.165548467398082
130,20.166056247400164
131,20.167071807404326
132,20.16859514741057
133,20.171134047420963
134,20.1751962874376
135,20.176719627443845
136,20.17316516742929
137,20.16808736740849
138,20.16453290739392
139,20.16300956738769
140,20.16453290739392
141,20.169102927412638
142,20.17468850743552
143,20.175704067439682
144,20.172657387427208
145,20.16961070741472
146,20.1701184874168
147,20.172149607425126
148,20.174180727433438
149,20.175704067439682
150,20.175704067439682
151,20.175704067439682
152,20.176719627443845
153,20.178750747452156
154,20.176719627443845
155,20.17316516742929
156,20.171134047420963
157,20.169102927412638
158,20.166564027402245
