sample_index,raw_value,g_value
0,137419,19.778620105813232
1,137422,19.780143445819462
2,137417,19.77760454580907
3,137410,19.774050085794514
4,137412,19.775065645798662
5,137421,19.77963566581738
6,137427,19.78268234582987
7,137425,19.781666785825706
8,137421,19.77963566581738
9,137421,19.77963566581738
10,137421,19.77963566581738
11,137416,19.777096765806988
12,137412,19.775065645798662
13,137414,19.776081205802825
14,137421,19.77963566581738
15,137428,19.78319012583195
16,137428,19.78319012583195
17,137423,19.780651225821543
18,137418,19.77811232581115
19,137416,19.777096765806988
20,137419,19.778620105813232
21,137426,19.782174565827788
22,137433,19.785729025842343
23,137433,19.785729025842343
24,137427,19.78268234582987
25,137423,19.780651225821543
26,137421,19.77963566581738
27,137417,19.77760454580907
28,137415,19.776588985804906
29,137417,19.77760454580907
30,137418,19.77811232581115
31,137418,19.77811232581115
32,137418,19.77811232581115
33,137414,19.776081205802825
34,137409,19.773542305792432
35,137412,19.775065645798662
36,137420,19.779127885815313
37,137427,19.78268234582987
38,137429,19.783697905834032
39,137427,19.78268234582987
40,137422,19.780143445819462
41,137418,19.77811232581115
42,137418,19.77811232581115
43,137419,19.778620105813232
44,137422,19.780143445819462
45,137424,19.781159005823625
46,137425,19.781666785825706
47,137422,19.780143445819462
48,137417,19.77760454580907
49,137416,19.777096765806988
50,137421,19.77963566581738
51,137426,19.782174565827788
52,137427,19.78268234582987
53,137426,19.782174565827788
54,137426,19.782174565827788
55,137423,19.780651225821543
56,137419,19.778620105813232
57,137416,19.777096765806988
58,137413,19.775573425800744
59,137413,19.775573425800744
60,137417,19.77760454580907
61,137421,19.77963566581738
62,137422,19.780143445819462
63,137423,19.780651225821543
64,137425,19.781666785825706
65,137426,19.782174565827788
66,137426,19.782174565827788
67,137428,19.78319012583195
68,137427,19.78268234582987
69,137421,19.77963566581738
70,137417,19.77760454580907
71,137422,19.780143445819462
72,137429,19.783697905834032
73,137428,19.78319012583195
74,137423,19.780651225821543
75,137417,19.77760454580907
76,137413,19.775573425800744
77,137412,19.775065645798662
78,137414,19.776081205802825
79,137416,19.777096765806988
80,137418,19.77811232581115
81,137418,19.77811232581115
82,137414,19.776081205802825
83,137412,19.775065645798662
84,137414,19.776081205802825
85,137418,19.77811232581115
86,137418,19.77811232581115
87,137418,19.77811232581115
88,137420,19.779127885815313
89,137424,19.781159005823625
90,137425,19.781666785825706
91,137423,19.780651225821543
92,137422,19.780143445819462
93,137420,19.779127885815313
94,137416,19.777096765806988
95,137416,19.777096765806988
96,137418,19.77811232581115
97,137418,19.77811232581115
98,137416,19.777096765806988
99,137416,19.777096765806988
100,137418,19.77811232581115
101,137420,19.779127885815313
102,137423,19.780651225821543
103,137425,19.781666785825706
104,137425,19.781666785825706
105,137425,19.781666785825706
106,137427,19.78268234582987
107,137431,19.78471346583818
108,137434,19.786236805844425
109,137434,19.786236805844425
110,137431,19.78471346583818
111,137427,19.78268234582987
112,137425,19.781666785825706
113,137425,19.781666785825706
114,137424,19.781159005823625
115,137419,19.778620105813232
116,137414,19.776081205802825
117,137414,19.776081205802825
118,137418,19.77811232581115
119,137420,19.779127885815313
120,137419,19.778620105813232
121,137419,19.778620105813232
122,137421,19.77963566581738
123,137422,19.780143445819462
124,137421,19.77963566581738
125,137420,19.779127885815313
126,137421,19.77963566581738
127,137423,19.780651225821543
128,137422,19.780143445819462
129,137416,19.777096765806988
130,137412,19.775065645798662
131,137416,19.777096765806988
132,137427,19.78268234582987
133,137437,19.78776014585067
134,137437,19.78776014585067
135,137427,19.78268234582987
136,137416,19.777096765806988
137,137411,19.774557865796595
138,137412,19.775065645798662
139,137416,19.777096765806988
140,137421,19.77963566581738
141,137426,19.782174565827788
142,137428,19.78319012583195
143,137424,19.781159005823625
144,137417,19.77760454580907
145,137418,19.77811232581115
146,137426,19.782174565827788
147,137430,19.7842056858361
148,137426,19.782174565827788
149,137423,19.780651225821543
150,137421,19.77963566581738
151,137420,19.779127885815313
152,137419,19.778620105813232
153,137423,19.780651225821543
154,137431,19.78471346583818
155,137432,19.785221245840262
156,137425,19.781666785825706
157,137415,19.776588985804906
158,137411,19.774557865796595
159,137416,19.777096765806988
160,137424,19.781159005823625
161,137428,19.78319012583195
162,137426,19.782174565827788
163,137420,19.779127885815313
164,137417,19.77760454580907
165,137418,19.77811232581115
166,137421,19.77963566581738
167,137422,19.780143445819462
168,137422,19.780143445819462
169,137424,19.781159005823625
170,137424,19.781159005823625
171,137422,19.780143445819462
172,137419,19.778620105813232
173,137420,19.779127885815313
174,137422,19.780143445819462
175,137426,19.782174565827788
176,137430,19.7842056858361
177,137432,19.785221245840262
178,137429,19.783697905834032
179,137422,19.780143445819462
180,137417,19.77760454580907
181,137417,19.77760454580907
182,137423,19.780651225821543
183,137433,19.785729025842343
184,137436,19.787252365848587
185,137431,19.78471346583818
186,137426,19.782174565827788
187,137426,19.782174565827788
188,137429,19.783697905834032
189,137426,19.782174565827788
190,137422,19.780143445819462
191,137421,19.77963566581738
192,137420,19.779127885815313
193,137417,19.77760454580907
194,137417,19.77760454580907
195,137420,19.779127885815313
196,137420,19.779127885815313
197,137415,19.776588985804906
198,137410,19.774050085794514
199,137411,19.774557865796595
200,137414,19.776081205802825
201,137413,19.775573425800744
202,137412,19.775065645798662
203,137414,19.776081205802825
204,137418,19.77811232581115
205,137419,19.778620105813232
206,137420,19.779127885815313
207,137421,19.77963566581738
208,137421,19.77963566581738
209,137420,19.779127885815313
210,137424,19.781159005823625
211,137426,19.782174565827788
212,137421,19.77963566581738
213,137416,19.777096765806988
214,137415,19.776588985804906
215,137418,19.77811232581115
216,137422,19.780143445819462
217,137424,19.781159005823625
218,137422,19.780143445819462
219,137416,19.777096765806988
220,137408,19.77303452579035
221,137407,19.77252674578827
222,137415,19.776588985804906
223,137425,19.781666785825706
224,137433,19.785729025842343
225,137438,19.78826792585275
226,137435,19.786744585846506
227,137426,19.782174565827788
228,137418,19.77811232581115
229,137415,19.776588985804906
230,137416,19.777096765806988
231,137416,19.777096765806988
232,137418,19.77811232581115
233,137418,19.77811232581115
234,137419,19.778620105813232
235,137419,19.778620105813232
236,137417,19.77760454580907
237,137416,19.777096765806988
238,137420,19.779127885815313
239,137421,19.77963566581738
240,137417,19.77760454580907
241,137412,19.775065645798662
242,137409,19.773542305792432
243,137409,19.773542305792432
