frequency_hz,amplitude_g_peak
0.0,0.00012218370426065052
0.20000000566352016,0.00020077695987849326
0.40000001132704033,3.8862900685967156e-05
0.6000000169905605,0.00012383881338579546
0.8000000226540807,1.4213902231470232e-05
1.0000000283176007,0.0001129119259329107
1.200000033981121,9.465501583525163e-05
1.4000000396446413,3.879728351182395e-05
1.6000000453081613,3.189139322836041e-05
1.8000000509716814,1.623762880058907e-05
2.0000000566352014,5.6203255158601276e-05
2.200000062298722,8.78997966164293e-05
2.400000067962242,7.700380957421166e-05
2.600000073625762,0.00011001287415462294
2.8000000792892825,4.4385710206614285e-05
3.0000000849528026,2.96321196832123e-05
3.2000000906163226,1.910354766539358e-05
3.4000000962798427,4.6806078903427234e-05
3.6000001019433627,1.8890716043265517e-05
3.8000001076068832,7.422921998619417e-05
4.000000113270403,7.612803232171082e-05
4.200000118933923,4.197559937878088e-05
4.400000124597444,1.9191999223229434e-05
4.600000130260963,3.556040511903253e-05
4.800000135924484,9.243648041334811e-05
5.000000141588004,7.244305521477867e-05
5.200000147251524,4.407739559187758e-05
5.4000001529150445,3.638167642658972e-05
5.600000158578565,1.99183410842212e-05
5.800000164242085,4.8565208270108875e-05
6.000000169905605,6.074843140581051e-05
6.200000175569125,4.174884512612625e-05
6.400000181232645,4.2071838585466046e-05
6.600000186896166,5.4771588933244824e-05
6.800000192559685,4.928350428289466e-05
7.000000198223206,6.817349807889367e-05
7.2000002038867255,8.45736704653268e-05
7.400000209550246,1.2452937333613711e-05
7.6000002152137665,7.869685175101902e-05
7.800000220877286,6.856465056382357e-05
8.000000226540806,5.236250034610214e-05
8.200000232204326,6.192996576278196e-05
8.400000237867847,8.361413004503122e-05
8.600000243531367,7.941372769844488e-05
8.800000249194888,0.00010666367277578913
9.000000254858408,8.072594068655184e-05
9.200000260521927,4.991396178436798e-05
9.400000266185447,7.998702055671511e-05
9.600000271848968,6.708625541637105e-05
9.800000277512488,2.243331940082322e-05
10.000000283176009,1.1334759980101947e-05
10.200000288839528,3.23721689653271e-05
10.400000294503048,5.170672791370289e-05
10.600000300166569,6.598281789609641e-05
10.800000305830089,4.959140034669929e-05
11.00000031149361,4.7952831543108694e-05
11.20000031715713,7.4823144560675e-05
11.400000322820649,7.071803366246637e-05
11.60000032848417,7.886939086755967e-05
11.80000033414769,0.00011067441428115497
12.00000033981121,7.332431714988599e-05
12.20000034547473,4.72393201218426e-05
12.40000035113825,4.111807192683465e-05
12.60000035680177,4.100162208686106e-05
12.80000036246529,6.664765488309479e-05
13.000000368128811,3.906172170060155e-05
13.200000373792331,5.5588387518111306e-05
13.40000037945585,8.52301984555731e-05
13.60000038511937,8.823761032680758e-05
13.800000390782891,8.764762925209055e-05
14.000000396446412,3.933495298560903e-05
14.200000402109932,1.4724124153322995e-05
14.400000407773451,2.9208774723945612e-05
14.600000413436971,5.998326927525348e-05
14.800000419100492,2.5016745271161793e-05
15.000000424764012,4.0993068599984985e-05
15.200000430427533,6.871996200607883e-05
15.400000436091053,8.66024357693774e-05
15.600000441754572,8.067181519549123e-05
15.800000447418093,7.895946483607075e-05
16.00000045308161,2.895364779102884e-05
16.200000458745134,2.095094635149771e-05
16.400000464408652,6.047581190385502e-05
16.600000470072175,4.160620201086766e-05
16.800000475735693,6.0349214066975024e-05
17.000000481399216,0.0001148230567724608
17.200000487062734,8.436120175440518e-05
17.400000492726253,9.70484999725032e-05
17.600000498389775,0.00011357130825955695
17.800000504053294,8.314022297259601e-05
18.000000509716816,7.711887571755688e-05
18.200000515380335,3.6366714958909435e-05
18.400000521043854,6.796309261834527e-06
18.600000526707376,4.034083267470145e-05
18.800000532370895,4.230790570127457e-05
19.000000538034417,6.661719334209182e-05
19.200000543697936,3.108383283919404e-05
19.400000549361454,4.867352777946167e-05
19.600000555024977,1.7276881753898312e-05
19.800000560688495,3.3482950387272484e-05
20.000000566352018,1.6487558120463816e-05
20.200000572015536,6.67290929569813e-05
20.400000577679055,9.051945162727513e-05
20.600000583342577,9.163203418062279e-05
20.800000589006096,9.119844492097028e-05
21.00000059466962,3.6095755387405234e-05
21.200000600333137,5.6231612159300055e-05
21.400000605996656,9.763992401749855e-05
21.600000611660178,6.882126390742857e-05
21.800000617323697,3.6692940282753975e-05
22.00000062298722,5.024157304005599e-05
22.200000628650738,3.060122274856271e-05
22.40000063431426,3.334697444476884e-05
22.60000063997778,5.7113147622777494e-05
22.800000645641298,2.5608927224928788e-05
23.00000065130482,2.978277790333504e-05
23.20000065696834,2.4773422275665354e-05
23.40000066263186,6.901619420972155e-05
23.60000066829538,5.6010516392542294e-05
23.8000006739589,9.994299218223746e-05
24.00000067962242,0.0001060529740175311
24.20000068528594,7.535018757644902e-05
24.40000069094946,6.156552591346868e-05
24.60000069661298,6.234206751045421e-05
24.8000007022765,6.609183119499693e-05
25.00000070794002,3.9403248304321246e-05
25.20000071360354,6.472146048601433e-05
25.400000719267062,9.071160265385192e-05
25.60000072493058,0.00010389291776541708
25.8000007305941,7.918850376751813e-05
26.000000736257622,2.134862656644178e-05
26.20000074192114,4.8275180126689946e-05
26.400000747584663,5.072864395171145e-05
26.60000075324818,2.1676255592311622e-05
26.8000007589117,7.343119193268859e-06
27.000000764575223,3.1478445471901337e-05
27.20000077023874,1.643488579941256e-05
27.400000775902264,1.7924865250769657e-05
27.600000781565782,5.0912329667838394e-05
27.8000007872293,4.90951328550235e-05
28.000000792892823,2.1310553922589344e-05
28.200000798556342,9.802552202347926e-06
28.400000804219864,2.853509436231045e-05
28.600000809883383,8.169386034035985e-05
28.800000815546902,9.29029499856057e-05
29.000000821210424,3.791363840175166e-05
29.200000826873943,1.4684828100521923e-05
