frequency_hz,amplitude_g_peak
0.0,1.651910766542791e-05
0.8204773117062153,0.0001286569782805665
1.6409546234124306,3.167066074788052e-05
2.4614319351186458,0.00010588835599258499
3.281909246824861,0.00023985900384781623
4.102386558531077,0.00017476756637094376
4.9228638702372916,0.00015108008986464326
5.743341181943507,8.221673606298492e-05
6.563818493649722,0.0001507897568721285
7.384295805355937,0.0001563601930213366
8.204773117062153,9.699836483255618e-05
9.025250428768368,6.971592054710217e-05
9.845727740474583,0.00011430260030112081
10.666205052180798,9.292557946557852e-05
11.486682363887015,6.17578954539166e-05
12.30715967559323,9.390595304510094e-05
13.127636987299445,0.00011813238497828882
13.94811429900566,7.926182754931586e-05
14.768591610711875,0.00010026464303881344
15.589068922418091,0.0001341023461535499
16.409546234124306,0.00010362197202317713
17.23002354583052,0.0001197714174823615
18.050500857536736,0.00012154784670984286
18.870978169242953,5.7044580621300216e-05
19.691455480949166,4.799216802939722e-05
20.511932792655383,4.524739200027678e-05
21.332410104361596,8.812947909681959e-06
22.152887416067813,2.2513448531443096e-05
22.97336472777403,6.494086720549513e-05
23.793842039480243,0.00013004644018803179
24.61431935118646,0.0002563238616375277
25.434796662892673,0.00018885237762105795
26.25527397459889,8.160536097415035e-05
27.075751286305106,0.00010628599830299171
27.89622859801132,0.0001601515067054039
28.716705909717536,9.188131063277122e-05
29.53718322142375,8.19905052145886e-05
30.357660533129966,4.7002284268933034e-05
31.178137844836183,0.00017318574805198845
31.998615156542396,0.0001675991120761913
32.81909246824861,9.234661707030497e-05
33.639569779954826,8.714515766122699e-05
34.46004709166104,0.00013430228443031962
35.28052440336726,8.183186497172159e-05
36.10100171507347,2.6405035609751176e-05
36.921479026779686,8.791931614936177e-05
37.741956338485906,0.00015783435671040422
38.56243365019212,0.00015665851475826371
39.38291096189833,0.0001287577707761671
40.20338827360455,8.057782508924161e-05
41.023865585310766,4.041335647533501e-05
41.84434289701698,0.00018180709531251046
42.66482020872319,0.00013012353819392674
43.48529752042941,4.943057452838166e-05
44.305774832135626,7.947795610752987e-05
45.12625214384184,3.200683491998992e-05
45.94672945554806,7.04223528764447e-05
46.76720676725427,0.0001261768440879049
47.587684078960486,0.00015070503517581243
48.408161390666706,0.0001347972656281234
49.22863870237292,9.32563802395827e-05
50.04911601407913,0.00017518814732436216
50.869593325785345,8.892595018317046e-05
51.690070637491566,2.4734384251953926e-05
52.51054794919778,8.389827871172811e-05
53.33102526090399,0.00010939217292598607
54.15150257261021,7.253075559683221e-05
54.971979884316426,0.00010528790557400001
55.79245719602264,0.0002184155144215613
56.61293450772885,0.0001565735234807293
57.43341181943507,7.862581776957496e-05
58.253889131141285,2.6996014063782596e-05
59.0743664428475,5.04527222743797e-05
59.89484375455372,9.599410642112224e-05
